Date,Home,Home_Short,Away,Away_Short
2026-04-04,PGE Spójnia Stargard,SPÓ,Novimex Polonia 1912 Leszno,LES
2026-04-07,Enea Abramczyk Astoria Bydgoszcz,AST,Miners Katowice,KAT
2026-04-08,Żubry Abakus Okna Białystok,BIA,OPTeam Energia Polska Resovia,RES
2026-04-08,WKK Active Hotel Wrocław,WKK,KSK Qemetica Noteć Inowrocław,INO
2026-04-08,Enea Basket Poznań,POZ,Decka Pelplin,PEL
2026-04-08,Weegree AZS Politechnika Opolska,OPO,SKS Fulimpex Starogard Gdański,STG
2026-04-08,Kotwica Port Morski Kołobrzeg,KOT,Solvera Sokół Łańcut,ŁAŃ
2026-04-08,ŁKS Coolpack Łódź,ŁKS,GKS Tychy,GKS
2026-04-11,Novimex Polonia 1912 Leszno,LES,Kotwica Port Morski Kołobrzeg,KOT
2026-04-11,SKS Fulimpex Starogard Gdański,STG,Enea Abramczyk Astoria Bydgoszcz,AST
2026-04-11,Decka Pelplin,PEL,WKK Active Hotel Wrocław,WKK
2026-04-11,KKS Polonia Warszawa,WAR,PGE Spójnia Stargard,SPÓ
2026-04-11,GKS Tychy,GKS,Weegree AZS Politechnika Opolska,OPO
2026-04-11,Miners Katowice,KAT,Żubry Abakus Okna Białystok,BIA
2026-04-12,OPTeam Energia Polska Resovia,RES,Enea Basket Poznań,POZ
2026-04-12,Solvera Sokół Łańcut,ŁAŃ,ŁKS Coolpack Łódź,ŁKS
2026-04-15,Kotwica Port Morski Kołobrzeg,KOT,KKS Polonia Warszawa,WAR
2026-04-15,OPTeam Energia Polska Resovia,RES,Decka Pelplin,PEL
2026-04-15,Enea Basket Poznań,POZ,Miners Katowice,KAT
2026-04-15,Żubry Abakus Okna Białystok,BIA,SKS Fulimpex Starogard Gdański,STG
2026-04-15,Enea Abramczyk Astoria Bydgoszcz,AST,GKS Tychy,GKS
2026-04-15,Weegree AZS Politechnika Opolska,OPO,Solvera Sokół Łańcut,ŁAŃ
2026-04-15,ŁKS Coolpack Łódź,ŁKS,Novimex Polonia 1912 Leszno,LES
2026-04-15,PGE Spójnia Stargard,SPÓ,KSK Qemetica Noteć Inowrocław,INO
