Team,Expected_Points,Win_Probability,Playoff_Probability,Relegation_Probability,Pos_1,Pos_2,Pos_3,Pos_4,Pos_5,Pos_6,Pos_7,Pos_8,Pos_9,Pos_10,Pos_11,Pos_12,Pos_13,Pos_14,Pos_15,Pos_16,Pos_17
AST,59.2,99.7516,100.0,0.0,99.7516,0.2429,0.0053,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ŁKS,54.1,0.2144,99.9956,0.0,0.2144,61.0381,19.9448,9.51,5.1751,2.7895,1.2095,0.1142,0.0042,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STG,52.9,0.0308,99.9581,0.0,0.0308,21.1837,29.2962,20.1712,14.279,9.4898,4.9459,0.5615,0.0403,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ŁAŃ,52.0,0.0018,99.7141,0.0,0.0018,6.6147,15.6671,20.4764,21.0037,19.908,13.7886,2.2538,0.2787,0.0071,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
SPÓ,52.0,0.0013,99.5933,0.0,0.0013,6.4612,17.2822,19.1715,19.101,18.5779,16.4522,2.546,0.3731,0.0311,0.0024,0.0001,0.0,0.0,0.0,0.0,0.0
PEL,51.9,0.0,99.5832,0.0,0.0,3.2735,13.1385,20.7928,23.5269,21.6395,14.8769,2.3351,0.3758,0.0375,0.0035,0.0,0.0,0.0,0.0,0.0,0.0
GKS,51.0,0.0001,98.7631,0.0,0.0001,1.181,4.5971,9.5306,15.6999,23.8698,35.6807,8.2039,1.1513,0.0825,0.0031,0.0,0.0,0.0,0.0,0.0,0.0
KOT,48.4,0.0,57.692,0.0,0.0,0.0049,0.0671,0.3153,1.0191,2.9178,9.2097,44.1581,23.9978,10.3316,4.9523,2.2194,0.675,0.1199,0.012,0.0,0.0
WKK,47.6,0.0,29.1072,0.0002,0.0,0.0,0.0017,0.0319,0.19,0.7529,3.2032,24.9275,34.6556,18.0659,10.0738,5.4263,2.1641,0.4549,0.052,0.0002,0.0
POZ,46.4,0.0,6.8285,0.0137,0.0,0.0,0.0,0.0001,0.0031,0.031,0.3162,6.4781,17.0229,28.6241,22.0205,14.6849,7.9124,2.3513,0.5417,0.0137,0.0
WAR,46.0,0.0,5.798,0.0169,0.0,0.0,0.0,0.0,0.0022,0.0228,0.2685,5.5045,12.2778,20.3124,24.3245,20.4395,11.6214,4.2087,1.0008,0.0169,0.0
LES,45.5,0.0,2.2997,0.0394,0.0,0.0,0.0,0.0,0.0,0.0009,0.0404,2.2584,6.8285,14.1904,22.2087,26.9014,17.5346,7.4832,2.5141,0.0394,0.0
RES,44.6,0.0,0.6268,1.3783,0.0,0.0,0.0,0.0,0.0,0.0001,0.0082,0.6185,2.6598,6.5988,11.3079,17.963,30.1142,18.6931,10.6581,1.3761,0.0022
INO,43.3,0.0,0.0298,4.0712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0298,0.2089,0.9167,2.8013,6.6833,15.7602,35.9665,33.5621,4.0622,0.009
OPO,43.0,0.0,0.0106,9.8229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0106,0.1253,0.7992,2.2922,5.6132,13.6104,27.7153,40.0109,9.7646,0.0583
KAT,40.6,0.0,0.0,84.7644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,0.0097,0.0689,0.6074,3.0009,11.5478,79.8889,4.8755
BIA,37.3,0.0,0.0,99.893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0062,0.1005,4.838,95.055
