Place,Team_Short,Team,Games,Points,Wins,Loses,Pts_Scored,Pts_Lost,Pts_Diff
1,AST,Enea Abramczyk Astoria Bydgoszcz,24,45,21,3,2140,1853,287
2,GKS,GKS Tychy,25,41,16,9,2075,2033,42
3,PEL,Decka Pelplin,25,41,16,9,2164,2049,115
4,ŁAŃ,Solvera Sokół Łańcut,25,41,16,9,2141,2160,-19
5,STG,SKS Fulimpex Starogard Gdański,24,40,16,8,2027,1923,104
6,SPÓ,PGE Spójnia Stargard,24,39,15,9,1981,1921,60
7,ŁKS,ŁKS Coolpack Łódź,23,39,16,7,1995,1814,181
8,POZ,Enea Basket Poznań,24,35,11,13,1928,1928,0
9,LES,Novimex Polonia 1912 Leszno,25,35,10,15,1980,2086,-106
10,WAR,KKS Polonia Warszawa,24,35,11,13,1945,2019,-74
11,KOT,Kotwica Port Morski Kołobrzeg,23,34,11,12,1852,1773,79
12,WKK,WKK Active Hotel Wrocław,23,34,11,12,1876,1893,-17
13,INO,KSK Qemetica Noteć Inowrocław,25,34,9,16,1992,2105,-113
14,RES,OPTeam Energia Polska Resovia,23,32,9,14,1885,1923,-38
15,OPO,Weegree AZS Politechnika Opolska,24,31,7,17,1956,2047,-91
16,KAT,Miners Katowice,24,30,6,18,1918,2057,-139
17,BIA,Żubry Abakus Okna Białystok,23,26,3,20,1765,2036,-271
