0,1,2,3
Novimex Polonia 1912 Leszno -  Enea Abramczyk Astoria Bydgoszcz Emocje TV - 2025-09-19 18:55,,19.09.2025 19:00,19.09.2025 19:00  66:83
Solvera Sokół Łańcut -  Żubry Abakus Okna Białystok Emocje TV - 2025-09-20 14:55,,20.09.2025 15:00,20.09.2025 15:00  75:70
GKS Tychy -  Enea Basket Poznań Emocje TV - 2025-09-20 17:55,,20.09.2025 18:00,20.09.2025 18:00  81:75
KSK Qemetica Noteć Inowrocław -  ŁKS Coolpack Łódź Emocje TV - 2025-09-20 19:55,,20.09.2025 20:00,20.09.2025 20:00  69:91
Miners Katowice -  Decka Pelplin Emocje TV - 2025-09-21 14:55,,21.09.2025 15:00,21.09.2025 15:00  59:82
WKK Active Hotel Wrocław -  Kotwica Port Morski Kołobrzeg Emocje TV - 2025-09-21 17:55,,21.09.2025 18:00,21.09.2025 18:00  70:76
SKS Fulimpex Starogard Gdański -  OPTeam Energia Polska Resovia Emocje TV - 2025-09-21 19:55,,21.09.2025 20:00,21.09.2025 20:00  79:68
KKS Polonia Warszawa -  Weegree AZS Politechnika Opolska Emocje TV - 2026-02-12 18:55,,22.09.2025 19:00,22.09.2025 19:00  84:80
Miners Katowice -  SKS Fulimpex Starogard Gdański Emocje TV - 2025-09-26 18:55,,26.09.2025 19:00,26.09.2025 19:00  65:88
Decka Pelplin -  PGE Spójnia Stargard Emocje TV - 2025-09-27 14:55,,27.09.2025 15:00,27.09.2025 15:00  107:102
Enea Basket Poznań -  Solvera Sokół Łańcut Emocje TV - 2025-09-27 17:55,,27.09.2025 18:00,27.09.2025 18:00  91:64
OPTeam Energia Polska Resovia -  GKS Tychy Emocje TV - 2025-09-27 17:55,,27.09.2025 18:00,27.09.2025 18:00  75:76
Weegree AZS Politechnika Opolska -  KSK Qemetica Noteć Inowrocław Emocje TV - 2025-09-27 19:55,,27.09.2025 20:00,27.09.2025 20:00  98:90
Enea Abramczyk Astoria Bydgoszcz -  KKS Polonia Warszawa Emocje TV - 2025-09-28 12:55,,28.09.2025 13:00,28.09.2025 13:00  89:78
Żubry Abakus Okna Białystok -  Novimex Polonia 1912 Leszno Emocje TV - 2026-02-12 14:55,,28.09.2025 15:00,28.09.2025 15:00  81:91
ŁKS Coolpack Łódź -  WKK Active Hotel Wrocław Emocje TV - 2025-09-28 17:55,,28.09.2025 18:00,28.09.2025 18:00  82:80
GKS Tychy -  Miners Katowice Emocje TV - 2025-10-01 16:55,,01.10.2025 17:00,01.10.2025 17:00  108:86
Solvera Sokół Łańcut -  OPTeam Energia Polska Resovia Emocje TV - 2025-10-01 16:55,,01.10.2025 17:00,01.10.2025 17:00  94:80
Novimex Polonia 1912 Leszno -  Enea Basket Poznań Emocje TV - 2025-10-01 17:55,,01.10.2025 18:00,01.10.2025 18:00  64:90
WKK Active Hotel Wrocław -  Weegree AZS Politechnika Opolska Emocje TV - 2025-10-01 17:55,,01.10.2025 18:00,01.10.2025 18:00  84:75
KKS Polonia Warszawa -  Żubry Abakus Okna Białystok Emocje TV - 2026-02-12 18:55,,01.10.2025 19:00,01.10.2025 19:00  94:87
KSK Qemetica Noteć Inowrocław -  Enea Abramczyk Astoria Bydgoszcz Emocje TV - 2025-10-01 18:55,,01.10.2025 19:00,01.10.2025 19:00  65:110
SKS Fulimpex Starogard Gdański -  Decka Pelplin Emocje TV - 2025-10-01 19:55,,01.10.2025 20:00,01.10.2025 20:00  96:91
PGE Spójnia Stargard -  Kotwica Port Morski Kołobrzeg Emocje TV - 2025-10-01 19:55,,01.10.2025 20:00,01.10.2025 20:00  69:64
Miners Katowice -  Solvera Sokół Łańcut Emocje TV - 2025-10-04 14:55,,04.10.2025 15:00,04.10.2025 15:00  82:94
Decka Pelplin -  Kotwica Port Morski Kołobrzeg Emocje TV - 2025-10-04 17:55,,04.10.2025 18:00,04.10.2025 18:00  84:80
OPTeam Energia Polska Resovia -  Novimex Polonia 1912 Leszno Emocje TV - 2025-10-04 19:55,,04.10.2025 20:00,04.10.2025 20:00  83:68
WKK Active Hotel Wrocław -  Enea Abramczyk Astoria Bydgoszcz Emocje TV - 2025-10-05 14:55,,05.10.2025 15:00,05.10.2025 15:00  75:83
ŁKS Coolpack Łódź -  PGE Spójnia Stargard Emocje TV - 2025-10-05 17:55,,05.10.2025 18:00,05.10.2025 18:00  81:83
